business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b07476,1197.68475427,7.088145600700001,Display,0,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b06153,488.711435507,6.19177220385,Display,0,unavailable,2,west,3,other_ind,0
b10661,1891.7233157,7.545243499860001,Display,0,unavailable,2,northeast,0,other_ind,0
b05388,968.9837790989999,6.876247871910001,SEM,3,size_less_50,1,northeast,0,fullservice_restaurants,8
b09129,5906.50278526,8.68380918995,Display,0,size_less_50,1,south,1,offices_of_real_estate_agents_and_brokers,10
b07332,618.589358011,6.42744165676,Display,0,size_g_100,0,northeast,0,other_ind,0
b00563,857.4349429910001,6.75394530793,Display,0,unavailable,2,south,1,other_ind,0
b02347,3094.82686074,8.03748724195,SEM,3,size_less_50,1,west,3,new_multifamily_housing_construction_except_operative_builders,19
b03829,2337.44717501,7.756814661980001,SEM,3,size_less_50,1,northeast,0,plumbing_heating_and_airconditioning_contractors,15
b07933,889.687624745,6.79087041768,Social Ads,2,size_less_50,1,northeast,0,other_ind,0
b03159,3799.82378875,8.24270997326,SEM,3,unavailable,2,midwest,2,offices_of_real_estate_agents_and_brokers,10
b08422,4626.64796414,8.439587903049999,Social Ads,2,unavailable,2,northeast,0,food_services_and_drinking_places,2
b01976,6257.890467600001,8.74159842129,Social Ads,2,size_less_50,1,west,3,fullservice_restaurants,8
b09410,1550.77691781,7.346511321629999,Display,0,size_less_50,1,northeast,0,other_ind,0
b00172,947.699426694,6.85403739153,Display,0,unavailable,2,northeast,0,other_ind,0
b07911,6878.68716207,8.83618309325,Email,1,size_g_100,0,northeast,0,offices_of_all_other_miscellaneous_health_practitioners,3
b03636,2135.06065256,7.66625033395,Social Ads,2,unavailable,2,midwest,2,other_ind,0
b03349,652.674190392,6.48107806202,Display,0,unavailable,2,south,1,other_ind,0
b00023,365.843690181,5.90220616617,Display,0,unavailable,2,northeast,0,other_ind,0
b12388,4120.11563695,8.323636509169999,Display,0,size_less_50,1,south,1,other_ind,0
b05133,2103.56145906,7.65138712013,SEO,4,size_less_50,1,west,3,offices_of_lawyers,7
b09214,1667.76934005,7.419242288010001,Display,0,size_less_50,1,northeast,0,other_ind,0
b09792,344.20170771,5.84122784515,SEM,3,size_less_50,1,south,1,other_ind,0
b12607,2310.6329275,7.745276760569999,Social Ads,2,size_less_50,1,midwest,2,other_ind,0
b04495,679.9205005,6.52197588031,Social Ads,2,unavailable,2,northeast,0,other_ind,0
b02366,1422.03574738,7.25984474885,Social Ads,2,size_less_50,1,midwest,2,food_services_and_drinking_places,2
b09727,2157.60395582,7.67675360526,Display,0,size_less_50,1,south,1,other_ind,0
b08608,13148.052799299998,9.48402895055,SEO,4,size_less_50,1,midwest,2,insurance_agencies_and_brokerages,12
b10379,3464.34214235,8.150278035689999,Display,0,size_less_50,1,northeast,0,other_ind,0
b05573,679.727007447,6.52169125793,Display,0,size_50_100,3,northeast,0,new_car_dealers,4
b04440,4043.73936566,8.30492512843,Email,1,unavailable,2,northeast,0,other_ind,0
b05994,4806.78808167,8.47778438156,Social Ads,2,size_less_50,1,northeast,0,furniture_stores,16
b12278,828.3662250560001,6.719455357389998,Email,1,size_less_50,1,northeast,0,other_ind,0
b04899,4374.95123132,8.3836506516,Display,0,size_less_50,1,midwest,2,other_ind,0
b02108,4742.44867382,8.46430887915,Display,0,unavailable,2,northeast,0,other_ind,0
b06873,10899.8850318,9.29650752062,SEM,3,size_less_50,1,northeast,0,other_ind,0
b10424,3960.86369398,8.28421738501,Social Ads,2,unavailable,2,midwest,2,other_ind,0
b00677,2182.31946566,7.688143565239999,Social Ads,2,unavailable,2,northeast,0,other_ind,0
